TR,ActivationScore,total_trials,block_num,mean_activation
108,-0.5236382186412811,108,1,392.90042
109,-0.778800830245018,109,1,391.69696
110,-0.798076331615448,110,1,391.60605
111,-1.0,111,1,385.42856
112,0.1854703426361084,112,1,394.11688
113,0.6615463495254517,113,1,397.60605
114,0.4790325164794922,114,1,396.2684
115,0.5989373922348022,115,1,397.1472
116,0.5717676877975464,116,1,396.94806
117,0.5575894117355347,117,1,396.84415
118,0.5481414794921875,118,1,396.7749
119,0.47962379455566406,119,1,396.27274
120,0.5386892557144165,120,1,396.70563
121,0.5150630474090576,121,1,396.53247
122,0.3880711793899536,122,1,395.60175
123,0.3975191116333008,123,1,395.671
124,0.4607194662094116,124,1,396.1342
125,0.37743639945983887,125,1,395.5238
126,0.38984084129333496,126,1,395.61472
127,0.5505024194717407,127,1,396.7922
128,0.34435808658599854,128,1,395.28137
129,0.4329584836959839,129,1,395.93073
130,0.44713664054870605,130,1,396.03464
131,0.48611950874328613,131,1,396.32034
132,0.4819847345352173,132,1,396.29004
133,0.31541872024536133,133,1,395.06927
134,0.4565846920013428,134,1,396.10388
135,0.12581348419189453,135,1,393.67966
136,0.3402233123779297,136,1,395.25107
137,0.32604920864105225,137,1,395.1472
138,0.17897462844848633,138,1,394.06927
139,0.06024813652038574,139,1,393.19913
140,0.1305396556854248,140,1,393.7143
1,nan,141,2,395.90042
2,-1.0,142,2,395.69696
3,1.0,143,2,396.27274
4,-1.0,144,2,394.60175
5,-1.0,145,2,393.9394
6,-0.7328502833843231,146,2,394.25107
7,-1.0,147,2,392.92642
8,-0.43597930669784546,148,2,393.87012
9,-0.09962427616119385,149,2,394.4329
10,-0.4696129560470581,150,2,393.81384
11,-0.07115238904953003,151,2,394.48053
12,-0.6222594976425171,152,2,393.55844
13,-1.0,153,2,392.7143
14,-1.0,154,2,392.35498
15,-1.0,155,2,391.30304
16,-0.9425104558467865,156,2,391.4459
17,-0.6533187627792358,157,2,392.1645
18,-0.771785780787468,158,2,391.87012
19,-1.0,159,2,390.83118
20,-0.656326949596405,160,2,391.76624
21,-0.7883898168802261,161,2,391.40692
22,-1.0,162,2,390.1645
23,-0.7647023499011993,163,2,390.88312
24,-0.45286405086517334,164,2,391.8355
25,-0.39334017038345337,165,2,392.0173
26,-0.459958553314209,166,2,391.81384
27,-0.7278509140014648,167,2,390.99567
28,-1.0,168,2,390.1602
29,-0.8484442979097366,169,2,390.62338
30,-1.0,170,2,389.70996
31,-1.0,171,2,389.39395
32,0.5871590375900269,172,2,394.8528
33,-1.0,173,2,386.26407
34,0.12110471725463867,174,2,391.87445
35,-0.12197071313858032,175,2,390.65802
36,-0.29065996408462524,176,2,389.81384
37,-0.2698954939842224,177,2,389.91776
38,-0.32871901988983154,178,2,389.62338
39,-0.17041504383087158,179,2,390.4156
40,-0.09083312749862671,180,2,390.81384
41,0.008647322654724121,181,2,391.31168
42,0.22404897212982178,182,2,392.38962
43,0.3442877531051636,183,2,392.99133
44,0.267297625541687,184,2,392.60605
45,0.20155870914459229,185,2,392.27707
46,0.2456732988357544,186,2,392.49783
47,0.33736634254455566,187,2,392.9567
48,0.3832188844680786,188,2,393.18616
49,0.35899674892425537,189,2,393.06494
50,0.24827110767364502,190,2,392.51083
51,0.2897939682006836,191,2,392.71863
52,0.3650522232055664,192,2,393.09525
53,0.406575083732605,193,2,393.30304
54,0.4100327491760254,194,2,393.32034
55,0.47923552989959717,195,2,393.66666
